timestamp;user_id;name;cpf
09/12/2025 15:38:03;3;Matheus Flores;12343493734
09/12/2025 15:38:09;3;Matheus Flores;12343493734
09/12/2025 15:43:59;3;Matheus Flores;12343493734
09/12/2025 15:44:10;3;Matheus Flores;12343493734
09/12/2025 15:46:51;3;Matheus Flores;12343493734
09/12/2025 15:47:06;3;Matheus Flores;12343493734
09/12/2025 15:47:20;3;Matheus Flores;12343493734
09/12/2025 15:50:17;3;Matheus Flores;12343493734
09/12/2025 15:50:32;3;Matheus Flores;12343493734
09/12/2025 15:50:38;3;Matheus Flores;12343493734
09/12/2025 15:50:53;3;Matheus Flores;12343493734
09/12/2025 15:51:05;3;Matheus Flores;12343493734
09/12/2025 15:57:49;3;Matheus Flores;12343493734
09/12/2025 15:59:45;3;Matheus Flores;12343493734
09/12/2025 16:02:28;3;Matheus Flores;12343493734
09/12/2025 19:33:03;3;Matheus Flores;12343493734
09/12/2025 19:33:21;3;Matheus Flores;12343493734
09/12/2025 19:37:14;3;Matheus Flores;12343493734
09/12/2025 20:02:26;1;Matheus Sousa;11111111111
09/12/2025 20:04:40;1;Andre;22222222222
09/12/2025 20:12:18;1;Juca;12222222222
09/12/2025 20:13:45;2;Matheus Sousa;12132222222
09/12/2025 20:51:54;1;Matheus Sousa;11111111111
09/12/2025 21:00:18;1;Matheus Flores;11111111111
